Date,Start location,Start code,Start coords,End location,End code,End coords,Start time,Start Unix,End time,End Unix,Elapsed time (minutes),Aircraft,Event(s)
08/25/2021,Albany,ALB,"42.74817135230371, -73.80252688158508",E. 34th Street Helipad,6N5,"40.74266567301213, -73.9722042288358",12:21 PM,1629894060,1:15 PM,1629897300,54,Helicopter,
08/30/2021,Buffalo,BUF,"42.93951516021071, -78.73346901349255",LaGuardia,LGA,"40.777511485588015, -73.8740439825065",4:50 AM,1630299000,6:00 AM,1630303200,70,King Air,
08/30/2021,LaGuardia,LGA,"40.777511485588015, -73.8740439825065",Albany,ALB,"42.74817135230371, -73.80252688158508",8:24 AM,1630311840,9:30 AM,1630315800,66,King Air,
08/30/2021,Albany,ALB,"42.74817135230371, -73.80252688158508",Buffalo,BUF,"42.93951516021071, -78.73346901349255",8:17 PM,1630354620,9:15 PM,1630358100,58,King Air,
08/31/2021,Buffalo,BUF,"42.93951516021071, -78.73346901349255",Albany,ALB,"42.74817135230371, -73.80252688158508",1:03 PM,1630414980,2:00 PM,1630418400,57,King Air,
09/02/2021,Albany,ALB,"42.74817135230371, -73.80252688158508",LaGuardia,LGA,"40.777511485588015, -73.8740439825065",8:46 AM,1630572360,9:45 AM,1630575900,59,Helicopter,
09/03/2021,Westchester County,HPN,"41.06875311390642, -73.70853535397019",Fort Wadsworth,N/A,"40.60532821651885, -74.056270648166",12:38 PM,1630672680,1:00 PM,1630674000,22,Helicopter,
09/03/2021, Fort Wadsworth ,N/A,"40.60532821651885, -74.056270648166",LaGuardia,LGA,"40.777511485588015, -73.8740439825065",2:34 PM,1630679640,2:47 PM,1630680420,13,Helicopter,
09/03/2021,LaGuardia,LGA,"40.777511485588015, -73.8740439825065",Albany,ALB,"42.74817135230371, -73.80252688158508",4:20 PM,1630686000,5:15 PM,1630689300,55,Helicopter,
09/04/2021,Albany,ALB,"42.74817135230371, -73.80252688158508",LaGuardia,LGA,"40.777511485588015, -73.8740439825065",8:00 AM,1630742400,9:05 AM,1630746300,65,Helicopter,
09/04/2021,LaGuardia,LGA,"40.777511485588015, -73.8740439825065",Albany,ALB,"42.74817135230371, -73.80252688158508",1:00 PM,1630760400,2:05 PM,1630764300,65,Helicopter,